EDGE_Cred,Scheduling Policy,DNN,Batch size,Number of tiles,EDGE DSEs,SERVER DSEs,BWs,SERVER Time,EDGE Time
nxc@192.168.1.25,sequential,vgg16,1,100,8,32,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,100,8,32,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,100,8,32,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,100,8,32,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,100,8,32,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,1,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,1,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,1,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,1,50,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,1,50,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,1,50,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,1,20,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,1,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,1,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,1,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,1,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,1,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,4,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,4,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,4,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,4,50,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,4,50,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,4,50,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,4,20,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,4,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,4,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,4,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,4,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,4,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,16,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,16,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,16,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,16,50,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,16,50,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,16,50,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,16,20,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,16,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,16,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,16,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,16,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,16,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,32,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,32,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,32,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,32,50,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,32,50,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,32,50,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,32,20,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,32,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,32,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,1,200,8,32,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,1,200,8,32,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,1,200,8,32,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,1,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,4,20,8,1,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,4,20,8,1,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,1,50,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,4,20,8,1,50,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,4,20,8,1,50,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,1,20,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,4,20,8,1,20,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,4,20,8,1,20,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,1,5,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,4,20,8,1,5,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,4,20,8,1,5,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,4,70,0.000000,0.000000
nxc@192.168.1.25,sequential,vgg16,4,20,8,4,70,0.000000,0.000000
nxc@192.168.1.25,conventional,vgg16,4,20,8,4,70,0.000000,0.000000
nxc@192.168.1.25,dynamic,vgg16,4,20,8,4,50,0.000000,0.000000
